Condition Code,Stage,Rules,Class,Type,Number,Name,Description,Editable in Byte,Dynamic Description,Borrower Description,Document Provider,Responsibility,Category,Borrower/All Borrower,Dynamic Data,Data for Logic,Logic to Apply,Byte Filter
APP100,PTD,This conditions would apply to any file where the citizenship is anything other than US Citizen,UW,APP,100,Visa/EAD,Copy of borrowers unexpired visa/EAD or legal US residency verification.,Editable,,,BWR,Underwriter,Borrower,Borrower,,Borrower Citizenship,This conditions would apply to any file where the citizenship is anything other than US Citizen,0
APP102,PTD,This would be on any conventional purchase or refi where our LTV is greater than 80%.  Some product codes will be excluded.,Processor III ,APP,102,,CMG Lender requires ______ % mortgage insurance coverage. MI approved with _(MI Company Name)_ with a rate factor of ______. Loan approved with _(choose: BPMI/LPMI Single/Split/Monthly)_ in the amount(s) of $_________. Need all Prior to Doc conditions to request. NOTE: All LTVs 90-95% with credit score 680 & above can be delegated**.  All LTVs over 95% or 90% with credit score below 680 are non-delegated. **All Manufactured Homes regardless of LTV/FICO are non-delegated. ,Editable,,,INT,Resp,Loan,Loan,"<ReqMIPercent> 
<MI Company Name> 
<MI Rate Factor>
<MI Type> 
<MI $ Amount>","ReqMIPercent per product, LTV, Product Code, Mortgage type",This would be on any conventional purchase or refinance where our LTV is greater than 80%.  Some product codes will be excluded.,Dynami
APP108,PTD,All Files Conventional & Govy.  If there was a way to have the blank filled out from the PITI on the 1008 screen on all loan types. (Can do),PTD,APP,108,PITI Change requires new Approval,"Application has been approved with a maximum monthly payment of ______________.  Included in monthly payment; principle, interest, taxes, homeowners insurance, condo HOA fees, mortgage insurance and flood insurance, if applicable.  Any increase must be re-evaluated by the loan analyst and our automated underwriting system.",Editable,"Application has been approved with a maximum monthly payment of $<Monthly PITI>.  Included in monthly payment; principle, interest, taxes, homeowners insurance, condo HOA fees, mortgage insurance and flood insurance, if applicable.  Any increase must be re-evaluated by the loan analyst and our automated underwriting system.",,INT,Underwriter,Loan,,<Monthly PITI>,Loan Status,All Files Conventional & Govy. Status => Approved,0
ASSET500,PTD,"On all Convention, FHA, VA, USDA whenever there are bank assets listed on the URLA.  Product code determines number of months CH - What is the deposit mentioned in the descripton?  (see reworded - VOA for cash to close)",UW,ASSET,500,Cash to Close Verification,Provide ___ months banks statements or VOA report to support sufficient funds for closing/reserves.,Editable,Provide <#> months banks statements or VOA report to support sufficient funds for closing/reserves. Refer to AUS Findings for months.  ,Please provide a copy of_______ month(s) bank statements to support sufficient funds for closing/reserves.,BWR,Underwriter,Borrower,All Borrowers,# of months,"Mortgage Type (VA, FHA, USDA, Conv)
Assets of type = Bank & borrower(s) associated, 
 VOA Report exists","On all Convention, FHA, VA, USDA whenever there are bank assets listed on the URLA and no VOA report exists on the loan. ",1003App1_LiquidAssets Not Blank
ASSET507,PTD,EMD amount is > $0.00,UW,Asset,507,EMD,Copy of statement showing $____ EMD check clearing; EMD must come from Borrowers verified accounts or other acceptable source,Editable,Copy of statement showing $<Earnest Money Deposit> EMD check clearing; EMD must come from Borrowers verified accounts or other acceptable source,Please provide a copy of your bank statement showing $<Earnest Money Deposit> Earnest Money Deposit check clearing,BWR,Underwriter,Loan,All Borrowers,<Earnest Money Deposit Amount>,Earnest Money Deposit,Earnest Money Deposit amount is > $0.00,0
CLSNG827,PTF,All VA IRRRL loans,PTF,CLSNG,827,,"VA IRRRL - Cash back to the veteran cannot exceed $500 in incidental cost at closing. If cash back exceeds $500, full amount to be applied as principal reduction with no cash to borrower. (Texas properties cannot receive any cash back at closing)",Not Editable,,,INT,Underwriter,Loan,Loan,,"$RefiTypeVA == ""IRRR"", SubPropState, CashFromToBorrower < -500",All VA IRRRL loans,"Loan_RefiTypeVA In List: IRRR, Other"
CLSNG890,PTF,"Loan: VA, Purchase",UW,CLSNG,890,,VA simultaneous closing- Document proof that sale of VA financed departing residence has been funded/ disbursed PRIOR to Note date of new VA purchase loan. Proof of payoff of original VA loan by title company who is closing current outstanding VA loan prior to closing. NO EXCEPTIONS,Not Editable,,,INT,Underwriter,REO,,,,"Loan: VA, Purchase
REO has linked mortgage liability with mortgage type = VA loan, AND REO is marked to be sold.",0
CRED301,PTD,<Possible Dup Rebecca rule> - Any REO to be sold exists on the loan.,Processor III,CRED,301,,Copy of current payoff on existing lien(s) and to reflect no late payments,Editable,,,INT,,,,,,Any REO to be sold exists on the loan.,0
CRED305,PTD,"Any loan where they mark ""Yes"" to having a BK in the last 7 years on the declarations on 1003 and no AUS ""Approved"" and only on Govy loans",UW,CRED,305,,"Bankruptcy Letter of Explanation and BK Papers including: Schedule of Creditors, all Debts Reaffirmed and Discharge document qualify with all reaffirmed debt.",Editable,,"Please provide a Letter of Explanation for your Bankruptcy, along with your complete bankruptcy papers, to include the  Schedule of Creditors and a Discharge Document, if the BK has been discharged ",BWR,,Borrower,Borrower,,"Declarations for Borrower includes BK in last 7 years = true; 
AUS result
Mortgage Type","Any loan where they mark ""Yes"" to having a BK in the last 7 years on the declarations on 1003 and no AUS ""Approved"" and only on Govy loans",0
CRED308,PTD,All loans where there are mortgages reporting on the 1003 in the REO section which are linked to a mortgage liability. Condition applied for each property address in REO records.,UW,CRED,308,,Provide mortgage statement to verify taxes and insurance escrow inclusion for property located at ____________________.,Editable,Provide mortgage statement to verify taxes and insurance escrow inclusion for property located at <<property address from REO linked to mortgage>>. ,Please provide a copy of the most recent mortgage statement for property located at <<property address from REO linked to mortgage>>. ,BWR,,REO,Borrower,<REO.Street>,"REO Property Address
Linked Liability with type = Mortgage exists",All loans where there are mortgages reporting on the 1003 in the REO section which are linked to a mortgage liability. Condition applied for each property address in REO records.,0
